year,iso,apd_eur,napd_eur
2012,MNE,47000000.00,123000000.00
2012,MOZ,196000000.00,155000000.00
2012,MRT,143000000.00,86000000.00
2012,MWI,11000000.00,6000000.00
2012,NER,45000000.00,3000000.00
2012,NGA,0.00,20000000.00
2012,NIC,121000000.00,128000000.00
2012,NPL,173000000.00,2000000.00
2012,PAK,10433000000.00,3153000000.00
2012,PAN,308000000.00,479000000.00
2012,PER,1852000000.00,215000000.00
2012,PHL,11176000000.00,1869000000.00
2012,PNG,218000000.00,0.00
2012,POL,52000000.00,1544000000.00
2012,ROU,728000000.00,267000000.00
2012,RUS,0.00,0.00
2012,SDN,893000000.00,3447000000.00
2012,SEN,358000000.00,151000000.00
2012,SLE,103000000.00,0.00
2012,SLV,544000000.00,3000000.00
2012,SOM,441000000.00,1115000000.00
2012,SRB,357000000.00,1980000000.00
2012,STP,1000000.00,21000000.00
2012,SUR,36000000.00,0.00
2012,SYC,56000000.00,31000000.00
2012,TCD,4000000.00,53000000.00
2012,TGO,0.00,31000000.00
2012,TJK,37000000.00,296000000.00
2012,TTO,1000000.00,160000000.00
2012,TUR,5253000000.00,3719000000.00
2012,TZA,457000000.00,20000000.00
2012,UKR,244000000.00,1191000000.00
2012,VCT,10000000.00,0.00
2012,VNM,13162000000.00,1249000000.00
2012,WSM,28382814.03,0.00
2012,YEM,487000000.00,1193000000.00
2012,ZMB,4000000.00,50000000.00
2013,AFG,0.00,1110000000.00
2013,AGO,138000000.00,221000000.00
2013,ALB,514000000.00,32000000.00
2013,ARG,877000000.00,5459000000.00
2013,ATG,4000000.00,94000000.00
2013,BDI,0.00,0.00
2013,BEN,8000000.00,27000000.00
2013,BFA,128000000.00,0.00
2013,BGR,255000000.00,224000000.00
2013,BIH,232000000.00,535000000.00
2013,BOL,84000000.00,2000000.00
2013,BRA,1939000000.00,1136000000.00
2013,CAF,0.00,3000000.00
2013,CHL,126000000.00,1000000.00
2013,CIV,649000000.00,0.00
2013,CMR,174000000.00,34000000.00
2013,COD,26000000.00,119000000.00
2013,COG,36000000.00,187000000.00
2013,COM,1000000.00,0.00
2013,CPV,79000000.00,33000000.00
2013,CRI,204000000.00,0.00
2013,DJI,73000000.00,34000000.00
2013,DMA,28000000.00,10000000.00
2013,DOM,530000000.00,205000000.00
2013,DZA,973000000.00,8000000.00
2013,ECU,372000000.00,418000000.00
2013,EGY,9541000000.00,3249000000.00
2013,ETH,309000000.00,163000000.00
2013,FJI,11000000.00,0.00
2013,GAB,183000000.00,92000000.00
2013,GEO,390000000.00,102000000.00
2013,GHA,688000000.00,518000000.00
2013,GIN,31000000.00,220000000.00
2013,GMB,2000000.00,1000000.00
2013,GNB,10000000.00,96000000.00
2013,GNQ,0.00,23000000.00
2013,GRD,5000000.00,6000000.00
2013,GTM,250000000.00,0.00
2013,GUY,5000000.00,0.00
2013,HND,169000000.00,2000000.00
2013,HRV,3000000.00,0.00
2013,HTI,0.00,0.00
2013,IDN,23055000000.00,6242000000.00
2013,IRQ,1453000000.00,8236000000.00
2013,JAM,189000000.00,7000000.00
2013,JOR,1808000000.00,111000000.00
2013,KEN,2199000000.00,223000000.00
2013,KGZ,363000000.00,308000000.00
2013,KHM,522000000.00,1403000000.00
2013,KNA,2000000.00,0.00
2013,LBR,0.00,0.00
2013,LCA,9000000.00,0.00
2013,LKA,4560000000.00,200000000.00
2013,LSO,12000000.00,0.00
2013,MAR,5353000000.00,235000000.00
2013,MDA,53000000.00,98000000.00
2013,MDG,3000000.00,89000000.00
2013,MDV,40000000.00,0.00
2013,MEX,1513000000.00,3732000000.00
2013,MKD,139000000.00,5000000.00
2013,MLI,48000000.00,8000000.00
2013,MMR,2551000000.00,2260000000.00
2013,MNE,49000000.00,122000000.00
2013,MOZ,154000000.00,140000000.00
2013,MRT,154000000.00,117000000.00
2013,MWI,2000000.00,6000000.00
2013,NER,68000000.00,3000000.00
2013,NGA,59000000.00,0.00
2013,NIC,128000000.00,123000000.00
2013,NPL,137000000.00,2000000.00
2013,PAK,9360000000.00,3112000000.00
2013,PAN,254000000.00,394000000.00
2013,PER,1539000000.00,135000000.00
