iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
NER,Niger,244264140.66,0.00,244264140.66,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/niger.html
NGA,Nigeria,918975403.90,43442740.00,962418143.90,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/nigeria.html
NIC,Nicaragua,365108210.18,26787714.49,391895924.67,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/nicaragua.html
NPL,Nepal,427217305.82,0.00,427217305.82,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/nepal.html
OMN,Oman,0.00,46000000.00,46000000.00,encours,
PAK,Pakistan,5448285225.22,328595341.74,5776880566.96,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/pakistan.html
PAN,Panama,628146759.93,402143785.29,1030290545.22,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/panama.html
PER,Peru,1516349604.86,21046000.00,1537395604.86,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/perou.html
PHL,Philippines,9543418793.60,0.00,9543418793.60,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/philippines.html
PLW,Palau,0.00,6000000.00,6000000.00,encours,
PNG,Papua New Guinea,462239882.76,1859600175.11,2321840057.87,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/papouasie-nouvelle-guinee.html
POL,Poland,0.00,3648861319.80,3648861319.80,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/pologne.html
PRK,D. P. R. of Korea,53000000.00,1887000000.00,1940000000.00,encours,
PRY,Paraguay,260000000.00,26000000.00,286000000.00,encours,
ROU,Romania,248958899.37,0.00,248958899.37,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/roumanie.html
RWA,Rwanda,468000000.00,13000000.00,481000000.00,encours,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/rwanda.html
SAU,Saudi Arabia,0.00,517000000.00,517000000.00,encours,
SDN,Sudan,1007956745.67,3155406689.19,4163363434.86,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/soudan.html
SEN,Senegal,1827142215.91,737179101.12,2564321317.03,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/senegal.html
SLE,Sierra Leone,42550975.66,0.00,42550975.66,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/sierra-leone.html
SLV,El Salvador,421964520.88,1510000.00,423474520.88,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/el-salvador.html
SOM,Somalia,452108590.95,463570516.81,915679107.76,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/somalie.html
SRB,Serbia,691990761.43,878110030.13,1570100791.56,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/serbie.html
